,Borough,number.of.energy.meters.cat,multifamily_pop_type,Metered.Areas.Energy,Property.Type,estimated_gas_usage,Occupancy100,estimated_electricity_usage,subsidized_housing,multifamily_cooled_area,energy_score,building_age,multifamily_heated_area,Latitude,green_electricity_percent,Longitude,energy_use,property_gfa,multifamily_gfa
0,MANHATTAN,5,,Whole Property,Adult Education,No,True,No,,,,129.0,,40.765894,0.0,-73.980896,150.4,33497.0,
1,QUEENS,5,,Whole Property,Adult Education,No,True,No,,,,29.0,,40.751163,0.0,-73.951976,31.9,213108.0,
2,MANHATTAN,5,No specific resident population,Whole Property,Adult Education,No,True,No,No,90.0,,95.0,100.0,40.730806,0.0,-73.987364,69.9,41759.0,15689.0
3,BROOKLYN,5,,Whole Property,Adult Education,No,True,No,,,,18.0,,40.623206,0.0,-73.989672,68.8,81000.0,
4,QUEENS,10,,Whole Property,Adult Education,No,True,No,,,,99.0,,40.76033,0.0,-73.829831,66.9,90950.0,
5,BROOKLYN,5,,Whole Property,Adult Education,No,True,No,,,,26.0,,40.635675,0.0,-73.972639,69.6,45100.0,
6,MANHATTAN,5,,Whole Property,Adult Education,,True,No,,,,0.0,,40.765895,0.0,-73.988813,36.2,35000.0,
7,QUEENS,5,,Whole Property,Adult Education,No,True,No,,,,72.0,,40.750828,0.0,-73.941343,109.2,74105.0,
8,QUEENS,5,,Whole Property,Adult Education,No,True,No,,,,72.0,,40.742213,0.0,-73.928164,72.1,42800.0,
9,MANHATTAN,5,,Whole Property,Adult Education,No,True,No,,,,82.0,,40.764091,0.0,-73.970684,133.6,48562.0,
10,BROOKLYN,5,,Whole Property,Adult Education,No,False,No,,,,93.0,,40.608445,0.0,-73.959033,58.0,29671.0,
11,QUEENS,5,,Whole Property,Adult Education,No,True,No,,,,83.0,,40.701962,0.0,-73.756553,56.5,44892.0,
12,BRONX,10,,Whole Property,Adult Education,No,True,No,,,,20.0,,40.832117,0.0,-73.82749,80.0,38500.0,
13,BROOKLYN,5,,Whole Property,Ambulatory Surgical Center,No,True,No,,,,13.0,,40.630245,0.0,-73.971016,71.5,29712.0,
14,MANHATTAN,5,,Whole Property,Ambulatory Surgical Center,,True,No,,,,51.0,,40.747681,0.0,-73.974975,282.8,534472.0,
15,BROOKLYN,5,,Whole Property,Ambulatory Surgical Center,No,True,No,,,,101.0,,40.635939,0.0,-74.022991,154.0,51930.0,
16,BROOKLYN,5,No specific resident population,Whole Property,Ambulatory Surgical Center,No,True,No,No,100.0,,54.0,100.0,40.668213,0.0,-73.979031,47.1,89214.0,21163.0
17,MANHATTAN,5,,Whole Property,Ambulatory Surgical Center,No,True,No,,,,6.0,,40.760097,0.0,-73.958687,269.6,186947.0,
18,,5,,Whole Property,Ambulatory Surgical Center,No,True,No,,,,92.0,,,0.0,,196.9,114924.0,
19,MANHATTAN,5,,Whole Property,Ambulatory Surgical Center,,True,,,,,16.0,,40.739173,,-73.976862,43.1,210000.0,
20,MANHATTAN,10,,Whole Property,Ambulatory Surgical Center,No,True,No,,,,92.0,,40.73765,0.0,-73.977995,207.4,305980.0,
21,BROOKLYN,5,,Whole Property,Ambulatory Surgical Center,,True,No,,,,0.0,,40.668177,0.0,-73.978995,49.7,469071.0,
22,MANHATTAN,5,,Whole Property,Ambulatory Surgical Center,,True,No,,,,44.0,,40.737856,0.0,-73.978746,213.7,191056.0,
23,BROOKLYN,5,,,Aquarium,,True,,,,,3.0,,40.575205,,-73.97594,,57500.0,
24,BROOKLYN,5,,,Aquarium,,True,,,,,7.0,,40.575343,,-73.977059,,4900.0,
25,BROOKLYN,5,,,Aquarium,,True,,,,,37.0,,40.574835,,-73.967819,,1790.0,
26,BROOKLYN,10,,Whole Property,Aquarium,Yes,True,Yes,,,,101.0,,40.575205,0.0,-73.97594,306.4,196505.0,
27,BROOKLYN,5,,,Aquarium,,True,,,,,13.0,,40.575178,,-73.97576,,400.0,
28,BROOKLYN,5,,,Aquarium,,True,,,,,101.0,,40.57534,,-73.977045,,21037.0,
29,QUEENS,5,,Whole Property,Automobile Dealership,No,True,No,,,,20.0,,40.759541,0.0,-73.794172,43.4,30076.0,
30,BROOKLYN,5,,Whole Property,Automobile Dealership,No,True,No,,,,5.0,,40.601267,0.0,-73.913148,21.2,147187.0,
31,QUEENS,5,,Whole Property,Automobile Dealership,No,True,No,,,,22.0,,40.760176,0.0,-73.794225,58.5,44200.0,
32,BROOKLYN,5,,Whole Property,Automobile Dealership,No,True,No,,,,90.0,,40.6365,0.0,-74.01928,117.3,34746.0,
33,QUEENS,5,,Whole Property,Automobile Dealership,No,True,No,,,,67.0,,40.754,0.0,-73.900139,74.0,72460.0,
34,BROOKLYN,5,,Whole Property,Automobile Dealership,No,False,No,,,,101.0,,40.682825,0.0,-74.006497,110.5,68932.0,
35,QUEENS,5,,Whole Property,Automobile Dealership,No,True,No,,,,45.0,,40.770055,0.0,-73.875497,24.4,143934.0,
36,QUEENS,5,,Whole Property,Automobile Dealership,No,True,No,,,,55.0,,40.766768,0.0,-73.881738,56.1,47245.0,
37,QUEENS,5,,Whole Property,Automobile Dealership,No,True,No,,,,32.0,,40.770496,0.0,-73.842932,43.7,66728.0,
38,QUEENS,5,,Whole Property,Automobile Dealership,No,True,No,,,,23.0,,40.666335,0.0,-73.785571,117.7,59000.0,
39,QUEENS,5,,Whole Property,Automobile Dealership,No,True,No,,,,61.0,,40.753178,0.0,-73.911838,48.7,60485.0,
