,Estimated.Data.Flag...Natural.Gas,Borough,Estimated.Data.Flag...Electricity..Grid.Purchase.,Property.Type,Multifamily.Housing.Government.Subsidized.Housing,Metered.Areas.Energy,Occupancy100,number.of.energy.meters.cat,Multifamily.Housing.Resident.Population.Type,ENERGY.STAR.Score,Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..,Year.Built,Latitude,Multifamily.Housing.Percent.That.Can.Be.Cooled,Property.GFA.Calculated.Buildings.and.Parking.ft,Electricity.Use...Grid.Purchase.and.Generated.from.Onsite.Renewable.Systems..kBtu.,Longitude,Site.EUI.kBtu.ft,Multifamily.Housing.Percent.That.Can.Be.Heated,Multifamily.Housing.Gross.Floor.Area.ft,Percent.of.Electricity.Green.Power
1210,No,MANHATTAN,No,Hotel,No,Whole Property,True,5,No specific resident population,66,0.3,2005,40.75303,0,338274.0,10887204.1,-73.985732,59.7,100,176900,0
1332,No,MANHATTAN,No,Hotel,No,Whole Property,True,10,No specific resident population,15,0,1930,40.774267,100,294142.0,11964208.7,-73.963285,150.6,100,76657,0
1401,No,MANHATTAN,No,Hotel,No,Whole Property,True,5,No specific resident population,67,0.5,1931,40.766613,100,723209.0,24687512.4,-73.978473,82.8,100,190809,0
4267,No,QUEENS,No,Mixed Use Property,No,Whole Property,True,5,No specific resident population,50,0.1,2017,40.750134,90,46604.0,1621646.5,-73.941892,47.4,90,46604,0
4273,No,BROOKLYN,No,Mixed Use Property,No,Whole Property,False,5,No specific resident population,44,0.2,2018,40.702314,100,83636.0,2709509.5,-73.917665,58.5,100,73152,0
4281,No,QUEENS,No,Mixed Use Property,No,Whole Property,True,10,No specific resident population,67,0.7,1927,40.744116,0,92015.0,1025064.4,-73.916621,79.2,90,89515,0
4322,No,BRONX,No,Mixed Use Property,No,Whole Property,True,15,No specific resident population,72,0.7,1937,40.833297,0,137900.0,1695756.5,-73.918837,78.1,90,137450,0
4353,No,BRONX,No,Mixed Use Property,No,Whole Property,True,15,No specific resident population,100,0.2,1931,40.837479,0,59152.0,762931.7,-73.907694,29.1,90,58786,0
4378,No,BRONX,No,Mixed Use Property,No,Whole Property,True,10,No specific resident population,72,0.5,1941,40.829796,0,92417.0,1634080.5,-73.921096,65.3,90,88617,0
4439,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,23,1.3,1951,40.741688,0,79919.0,1505530.7,-73.700935,140.3,100,79919,0
4441,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,57,0.8,1926,40.749309,90,57920.0,714284.8,-73.885165,88,90,57920,0
4445,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,81,0,1923,40.764974,0,64070.0,1049465,-73.966911,48.1,100,64070,0
4446,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,20,No specific resident population,90,0.4,1961,40.769015,90,267980.0,4164404,-73.961014,54,90,252925,0
4447,No,BRONX,No,Multifamily Housing,Yes,Whole Property,True,5,No specific resident population,57,0.6,1981,40.841299,90,97013.0,1525197.8,-73.783771,74.4,100,97013,0
4449,No,BROOKLYN,No,Multifamily Housing,No,Whole Property,True,5,No specific resident population,50,0.9,1971,40.639829,0,399000.0,6042044.7,-74.024426,95.2,100,399000,0
4453,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,84,0.5,1934,40.766719,90,63538.0,755491.2,-73.917124,60,90,63538,0
4454,No,QUEENS,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,49,0.8,1963,40.755884,90,130548.0,2028321.1,-73.830434,91.2,100,130548,0
4456,No,MANHATTAN,No,Multifamily Housing,No,Whole Property,True,10,No specific resident population,70,0.6,1930,40.737953,90,93280.0,1224325.9,-73.985021,67.5,100,93280,0
